*************** 👨‍🌾 UNOFFICIAL SUSHISWAP FARMING CALCULATOR 👨‍🌾 *************
INFO  : https://app.sushi.com/farms/
****************************************************************************

Mon Sep 13 2021 10:11:57 GMT+0300 (Москва, стандартное время)

[CHANGE WALLET] -=- [CLEAR BROWSER STORAGE]

Initialized 0x9fc94f19a42067a4620a9885808aeee8b1b9a444
Reading smart contracts...
Staking Contract
Found 298 pools.
Showing incentivized pools only.
Finished reading smart contracts.
.------------------------------------------------------------------------------------------------------.
|                                                Sushi                                                 |
|------------------------------------------------------------------------------------------------------|
|  #  |         Pair         | Total Staked | Total $ Staked  | Reward |   APR   |      My Stake       |
| 204 | kmUSDC/COMP-LINK     |     490.4108 |           $0.00 | SUSHI  |    NaN% | 0.00 ($0.00), NaN%  |
| 206 | kmUSDC/CREAM-LINK    |     316.0909 |           $0.00 | SUSHI  |    NaN% | 0.00 ($0.00), NaN%  |
| 207 | kmUSDC/GRT-LINK      |  168237.8568 |           $0.00 | SUSHI  |    NaN% | 0.00 ($0.00), NaN%  |
| 208 | kmUSDC/HEGIC-LINK    |  187855.3110 |           $0.00 | SUSHI  |    NaN% | 0.00 ($0.00), NaN%  |
| 209 | kmUSDC/LINK-LINK     |    7981.7172 |           $0.00 | SUSHI  |    NaN% | 0.00 ($0.00), NaN%  |
| 210 | kmUSDC/REN-LINK      |  161475.5142 |           $0.00 | SUSHI  |    NaN% | 0.00 ($0.00), NaN%  |
| 211 | kmUSDC/SRM-LINK      |   10891.6194 |           $0.00 | SUSHI  |    NaN% | 0.00 ($0.00), NaN%  |
| 212 | kmUSDC/SUSHI-LINK    |    9333.6980 |           $0.00 | SUSHI  |    NaN% | 0.00 ($0.00), NaN%  |
| 213 | kmUSDC/UNI-LINK      |   30198.2855 |           $0.00 | SUSHI  |    NaN% | 0.00 ($0.00), NaN%  |
| 214 | kmUSDC/wNXM-LINK     |    1162.5871 |           $0.00 | SUSHI  |    NaN% | 0.00 ($0.00), NaN%  |
| 215 | kmUSDC/YFI-LINK      |       0.5633 |           $0.00 | SUSHI  |    NaN% | 0.00 ($0.00), NaN%  |
| 216 | kmSUSHI/UNI-LINK     |   16056.6541 |           $0.00 | SUSHI  |    NaN% | 0.00 ($0.00), NaN%  |
| 217 | kmUNI/SUSHI-LINK     |   10433.2642 |           $0.00 | SUSHI  |    NaN% | 0.00 ($0.00), NaN%  |
| 218 | kmSUSHI/USDC-LINK    |   64341.3599 |           $0.00 | SUSHI  |    NaN% | 0.00 ($0.00), NaN%  |
| 219 | kmSUSHI/USDT-LINK    |  154381.7613 |           $0.00 | SUSHI  |    NaN% | 0.00 ($0.00), NaN%  |
| 220 | kmSUSHI/DAI-LINK     |   83036.3105 |           $0.00 | SUSHI  |    NaN% | 0.00 ($0.00), NaN%  |
| 221 | kmWETH/1INCH-LINK    |   28338.9332 |           $0.00 | SUSHI  |    NaN% | 0.00 ($0.00), NaN%  |
| 222 | kmYFI/USDC-LINK      |   80542.3317 |           $0.00 | SUSHI  |    NaN% | 0.00 ($0.00), NaN%  |
| 223 | kmAAVE/USDC-LINK     |   65399.8018 |           $0.00 | SUSHI  |    NaN% | 0.00 ($0.00), NaN%  |
| 224 | kmALPHA/USDC-LINK    |  111280.0416 |           $0.00 | SUSHI  |    NaN% | 0.00 ($0.00), NaN%  |
| 225 | kmBADGER/USDC-LINK   |   72133.1917 |           $0.00 | SUSHI  |    NaN% | 0.00 ($0.00), NaN%  |
| 226 | kmRUNE/USDT-LINK     |   56844.7815 |           $0.00 | SUSHI  |    NaN% | 0.00 ($0.00), NaN%  |
| 227 | kmUMA/DAI-LINK       |   71804.3023 |           $0.00 | SUSHI  |    NaN% | 0.00 ($0.00), NaN%  |
| 228 | kmDAI/CRV-LINK       |   18518.9163 |           $0.00 | SUSHI  |    NaN% | 0.00 ($0.00), NaN%  |
| 229 | kmDPI/sUSD-LINK      |   51481.9926 |           $0.00 | SUSHI  |    NaN% | 0.00 ($0.00), NaN%  |
| 230 | [yvBOOST]-[WETH] SLP |   93071.2053 |  $11,202,564.62 | SUSHI  |   4.74% | 0.00 ($0.00), 0.00% |
| 231 | [AXS]-[WETH] SLP     |    8189.3394 |   $8,585,588.38 | SUSHI  |  30.94% | 0.00 ($0.00), 0.00% |
| 232 | [BDI]-[WETH] SLP     |    5695.3049 |  $12,153,822.94 | SUSHI  |   3.50% | 0.00 ($0.00), 0.00% |
| 233 | [BASK]-[WETH] SLP    |    2245.7762 |   $1,208,772.92 | SUSHI  |  30.77% | 0.00 ($0.00), 0.00% |
| 234 | [BTC2x-FLI]-[WBTC... |       0.0148 |   $4,382,424.65 | SUSHI  |  12.12% | 0.00 ($0.00), 0.00% |
| 235 | [WBTC]-[ibBTC] SLP   |       0.0035 |  $31,876,600.97 | SUSHI  |   1.83% | 0.00 ($0.00), 0.00% |
| 237 | [MM]-[WETH] SLP      |    1145.6856 |     $288,838.46 | SUSHI  |  73.57% | 0.00 ($0.00), 0.00% |
| 239 | [PMON]-[WETH] SLP    |     481.4567 |     $231,157.35 | SUSHI  |  22.98% | 0.00 ($0.00), 0.00% |
| 240 | [MANA]-[WETH] SLP    |   75218.6579 |   $8,111,067.43 | SUSHI  |  15.72% | 0.00 ($0.00), 0.00% |
| 241 | [WASABI]-[WETH] SLP  |     334.4987 |      $79,926.75 | SUSHI  |  39.88% | 0.00 ($0.00), 0.00% |
| 242 | [DRC]-[WETH] SLP     |    3982.9754 |     $262,955.26 | SUSHI  |  12.12% | 0.00 ($0.00), 0.00% |
| 243 | [WETH]-[$DG] SLP     |      77.6672 |     $143,186.37 | SUSHI  |  29.68% | 0.00 ($0.00), 0.00% |
| 244 | [ILV]-[WETH] SLP     |   11564.2952 |  $29,825,629.37 | SUSHI  |   1.78% | 0.00 ($0.00), 0.00% |
| 245 | kmxSUSHI/UST-LINK    |  250129.7007 |           $0.00 | SUSHI  |    NaN% | 0.00 ($0.00), NaN%  |
| 246 | kmxSUSHI/DAI-LINK    | 2668228.7014 |           $0.00 | SUSHI  |    NaN% | 0.00 ($0.00), NaN%  |
| 247 | kmxSUSHI/USDC-LINK   |  797745.6556 |           $0.00 | SUSHI  |    NaN% | 0.00 ($0.00), NaN%  |
| 248 | kmxSUSHI/TUSD-LINK   |  227683.4528 |           $0.00 | SUSHI  |    NaN% | 0.00 ($0.00), NaN%  |
| 249 | kmxSUSHI/USDT-LINK   |  596718.3413 |           $0.00 | SUSHI  |    NaN% | 0.00 ($0.00), NaN%  |
| 250 | MASTERCHEFDUMMY      |       1.0000 |           $0.00 | SUSHI  |    NaN% | 0.00 ($0.00), NaN%  |
| 254 | [YFI]-[WOOFY] SLP    |       0.5211 |      $32,902.95 | SUSHI  |  32.29% | 0.00 ($0.00), 0.00% |
| 255 | [NAOS]-[WETH] SLP    |    1231.0886 |     $175,161.69 | SUSHI  |  18.20% | 0.00 ($0.00), 0.00% |
| 256 | [UMB]-[WETH] SLP     |    2733.9216 |     $150,738.31 | SUSHI  |  21.15% | 0.00 ($0.00), 0.00% |
